departamento,anio,sexo,Fuerza de trabajo,Fuerza de trabajo potencial,Poblacion desocupada,Poblacion en edad de trabajar (PET),Poblacion fuera de la fuerza de trabajo,Poblacion ocupada,Poblacion subocupada,Poblacion total,Porcentaje poblacion en edad de trabajar,Tasa Global de Participacion (TGP),Tasa de Desocupacion (TD),Tasa de Ocupacion (TO),Tasa de Subocupacion (TS)
Antioquia,2007,hombres,1480.082024,0.0,134.59697200000002,1905.531,425.448976,1345.485052,125.749833,2695.995,70.680064318,77.672943859,9.093885977,70.60945491,8.496139465
Antioquia,2007,mujeres,1008.811907,0.0,150.16365299999998,2134.657,1125.8450930000001,858.648254,81.823081,2896.749,73.691472751,47.258735562,14.885198342,40.224179039,8.110836122
Antioquia,2007,total,2488.893931,0.0,284.760625,4040.188,1551.2940689999998,2204.1333059999997,207.572913,5592.744,72.239816448,61.603418718,11.441251928,54.555216386,8.339966236
Antioquia,2008,hombres,1516.462381,0.0,148.37664999999998,1947.215,430.752619,1368.085731,143.796587,2729.277,71.345451561,77.878528089,9.784393736,70.258586264,9.482370859
Antioquia,2008,mujeres,1034.525088,0.0,166.21675,2177.829,1143.303912,868.308339,92.09699099999999,2930.303,74.320949062,47.502585755,16.066961697,39.870363496,8.902344817
Antioquia,2008,total,2550.987469,0.0,314.59340000000003,4125.044,1574.056531,2236.394069,235.893577,5659.58,72.886044547,61.841460819,12.332220511,54.215035504,9.247147637
Antioquia,2009,hombres,1595.520204,0.0,166.217271,1989.87,394.34979599999997,1429.302933,191.323982,2762.952,72.019709354,80.182132696,10.417747789,71.828960339,11.991323022
Antioquia,2009,mujeres,1151.417736,0.0,190.779011,2222.181,1070.763264,960.638725,137.502139,2964.806,74.95198674,51.81475929,16.569052648,43.229544544,11.941985521
Antioquia,2009,total,2746.93794,0.0,356.996282,4212.051,1465.1130600000001,2389.9416579999997,328.826121,5727.758,73.537516774,65.216160488,12.99615388,56.740567917,11.970642513
Antioquia,2010,hombres,1608.615224,0.0,148.647652,2033.624,425.008776,1459.9675730000001,197.28757000000002,2797.44,72.695893388,79.100916599,9.240721419,71.791421256,12.264435071
Antioquia,2010,mujeres,1196.0794850000002,0.0,187.710752,2267.478,1071.3985149999999,1008.368733,146.357856,3000.076,75.580685289,52.749331423,15.693835951,44.470937884,12.236465703
Antioquia,2010,total,2804.694709,0.0,336.358404,4301.102,1496.407291,2468.3363059999997,343.645426,5797.516,74.188704266,65.20874672,11.992692206,57.388462434,12.252507361
Antioquia,2011,hombres,1649.984517,0.0,138.239189,2077.652,427.667483,1511.745327,157.70735399999998,2831.902,73.365956873,79.415826937,8.378211313,72.762201141,9.558111163
Antioquia,2011,mujeres,1194.562652,0.0,168.106131,2312.157,1117.594348,1026.45652,130.362684,3034.612,76.192837832,51.66442641,14.072609004,44.393893687,10.913005142
Antioquia,2011,total,2844.547168,0.0,306.345321,4389.809,1545.261832,2538.201848,288.070038,5866.514,74.828237008,64.79888233,10.769563751,57.820325388,10.127096541
Antioquia,2012,hombres,1688.582169,0.0,138.609078,2120.713,432.130831,1549.973091,200.631421,2865.253,74.014860119,79.623323312,8.208607218,73.087357447,11.881649887
Antioquia,2012,mujeres,1259.537832,0.0,189.123984,2355.67,1096.132168,1070.413849,134.447532,3068.035,76.781066709,53.468347964,15.015347611,45.439889656,10.67435437
Antioquia,2012,total,2948.1200010000002,0.0,327.73306199999996,4476.383,1528.262999,2620.386939,335.07895299999996,5933.288,75.445233739,65.859422686,11.116679833,58.538041525,11.365851894
Antioquia,2013,hombres,1720.295831,0.0,135.232139,2162.45,442.15416899999997,1585.063692,178.623767,2897.534,74.630703212,79.553091696,7.860981639,73.299437764,10.383316828
Antioquia,2013,mujeres,1281.375484,0.0,171.542101,2398.207,1116.831516,1109.833382,128.59990200000001,3101.037,77.335646108,53.430562234,13.387340663,46.277630849,10.036082567
Antioquia,2013,total,3001.671315,0.0,306.77424099999996,4560.657,1558.985685,2694.897074,307.22366800000003,5998.571,76.029057587,65.816642537,10.220114344,59.090106412,10.235086918
Antioquia,2014,hombres,1744.185315,0.0,140.37088,2203.325,459.139685,1603.814435,144.171951,2929.685,75.206890843,79.161508876,8.047933838,72.790643016,8.26586201
Antioquia,2014,mujeres,1270.970432,0.0,160.484178,2440.349,1169.3785679999999,1110.486253,107.17009200000001,3134.527,77.853819731,52.081502754,12.626901013,45.505222956,8.432146777
Antioquia,2014,total,3015.155747,0.0,300.855059,4643.674,1628.518253,2714.3006889999997,251.342044,6064.212,76.575060371,64.930392338,9.978093463,58.451577104,8.335955577
Antioquia,2015,hombres,1740.3009539999998,0.0,141.422923,2243.85,503.549046,1598.878031,131.69744500000002,2962.731,75.735866672,77.558702876,8.126348659,71.256012265,7.567509766
Antioquia,2015,mujeres,1234.548057,0.0,157.43814,2482.572,1248.023943,1077.109917,109.615009,3169.409,78.329177459,49.728590228,12.752694331,43.386855121,8.878958455
Antioquia,2015,total,2974.849011,0.0,298.861063,4726.422,1751.572989,2675.987948,241.312454,6132.14,77.076224613,62.940825248,10.046259901,56.617626359,8.111754675
Antioquia,2016,hombres,1760.274067,0.0,134.175501,2285.616,525.3419329999999,1626.0985660000001,142.943557,2999.027,76.211918065,77.015302082,7.622421032,71.144871499,8.120528483
Antioquia,2016,mujeres,1234.9272520000002,0.0,178.00737700000002,2527.189,1292.261748,1056.919875,116.256303,3209.108,78.750512604,48.865646866,14.414401887,41.821956142,9.414020344
Antioquia,2016,total,2995.2013190000002,0.0,312.182878,4812.805,1817.603681,2683.018441,259.19986,6208.135,77.524167886,62.234005309,10.422767774,55.747499459,8.65383766
Antioquia,2017,hombres,1803.938791,0.0,151.06656099999998,2329.621,525.6822090000001,1652.87223,147.747285,3040.098,76.629799434,77.43486134,8.374262033,70.950263146,8.190260432
Antioquia,2017,mujeres,1272.4936329999998,0.0,192.872042,2573.753,1301.259367,1079.621591,116.875908,3253.045,79.118272265,49.441171452,15.157014337,41.947366006,9.184793165
Antioquia,2017,total,3076.432425,0.0,343.938604,4903.374,1826.941575,2732.493821,264.623193,6293.143,77.916138248,62.741133444,11.179787373,55.726808129,8.601625415
Antioquia,2018,hombres,1816.0066550000001,0.0,161.524506,2379.635,563.628345,1654.482149,162.855131,3091.667,76.969317847,76.314504323,8.894488672,69.526719381,8.967760708
Antioquia,2018,mujeres,1258.294693,0.0,193.63761799999997,2628.428,1370.133307,1064.6570749999998,106.439999,3310.272,79.402176015,47.87251898,15.388892564,40.505468467,8.459067606
Antioquia,2018,total,3074.3013480000004,0.0,355.162125,5008.063,1933.761652,2719.139223,269.29513000000003,6401.939,78.227283953,61.387034231,11.552612593,54.295227984,8.759555409
Antioquia,2019,hombres,1865.259855,0.0,169.614931,2444.529,579.269145,1695.6449240000002,179.547344,3162.235,77.303837318,76.303445559,9.093367373,69.364892937,9.625862239
Antioquia,2019,mujeres,1267.331784,0.0,212.021349,2695.87,1428.538216,1055.310435,120.377519,3382.396,79.702967955,47.010122308,16.729742903,39.145449707,9.498500734
Antioquia,2019,total,3132.5916389999998,0.0,381.63628000000006,5140.399,2007.8073610000001,2750.955359,299.924863,6544.631,78.543755943,60.94063202,12.18276508,53.516377983,9.574336441
Antioquia,2020,hombres,1847.436199,0.0,255.43294699999998,2503.965,656.5288009999999,1592.003253,0.0,3225.702,77.625428511,73.7804322,13.826347385,63.579293342,0.0
Antioquia,2020,mujeres,1244.1072379999998,0.0,289.35187099999996,2757.82,1513.712762,954.755367,0.0,3447.503,79.994709214,45.111981147,23.25779179,34.619930499,0.0
Antioquia,2020,total,3091.543438,0.0,544.784818,5261.785,2170.2415619999997,2546.75862,0.0,6673.205,78.849443408,58.754651465,17.62177465,48.401039188,0.0
Antioquia,2021,hombres,1917.661,44.058,219.327,2556.439,638.778,1698.334,101.925,3278.867,77.96716241,75.012981961,11.437207751,66.433591374,5.31506533
Antioquia,2021,mujeres,1245.603,129.866,213.767,2812.727,1567.125,1031.836,73.822,3502.648,80.302885989,44.284517992,17.161732352,36.684527541,5.926586955
